,area,sample.sampledMaterialType.label,sample.samplingPoint.label,year,Chloride [mg/l],Nitrite as N [mg/l],Nitrate as N [mg/l],"Oxygen, Dissolved, % Saturation [%]",pH [phunits],Temperature of Water [cel]
5357,Midlands,CANAL WATER,TAME VALLEY CANAL  NEWTON ROAD,2002,51.96666666666667,0.016454545454545454,1.4040000000000001,102.58333333333333,7.916666666666667,11.549999999999999
5097,Midlands,CANAL WATER,BALLS HILL BRANCH CNL PHOENIX ST W.BROM,2004,86.01818181818182,0.032100000000000004,0.7624545454545455,77.54545454545455,6.609090909090909,12.445454545454545
5394,Midlands,CANAL WATER,TRENT & MERSEY CANAL - HEM HEATH,2008,45.73333333333333,0.007771428571428572,0.9748333333333333,85.25,7.857500000000001,10.246666666666666
5390,Midlands,CANAL WATER,TRENT & MERSEY CANAL - HEM HEATH,2004,41.24615384615385,0.013076923076923076,1.5086923076923076,83.46153846153847,7.723076923076923,11.376923076923077
5211,Midlands,CANAL WATER,"G/S CANAL, SPLATT BRIDGE",2005,43.98333333333333,0.06066666666666667,5.5975,93.83333333333333,8.058333333333334,13.700000000000001
5254,Midlands,CANAL WATER,NUT BROOK CANAL CONF WITH EREWASH CANAL,2003,266.38461538461536,0.022153846153846156,1.4896923076923076,88.46153846153847,7.833076923076923,12.423076923076923
5348,Midlands,CANAL WATER,STRATFORD CANAL BIRMINGHAM RD STRATFORD,2002,54.51538461538462,0.03376923076923077,2.858166666666667,81.3076923076923,7.800000000000001,12.576923076923077
5159,Midlands,CANAL WATER,COVENTRY CANAL OLD CHURCH ROAD BRIDGE,2003,67.85833333333333,0.021500000000000002,6.5566666666666675,90.5,7.8500000000000005,12.333333333333334
19489,North West,CANAL WATER,MACCLESFIELD CANAL@HIGH LANE (A6 BRIDGE),2006,27.96666666666667,0.012986666666666667,0.6997272727272728,74.66666666666667,7.583333333333333,11.025
5088,Midlands,CANAL WATER,ASHBY CANAL  BURTON HASTINGS,2000,38.09166666666667,0.08341666666666665,6.607333333333333,85.82142857142857,7.7749999999999995,12.571428571428571
5130,Midlands,CANAL WATER,BHAM/FAZELEY CANAL  MINWORTH LOCK,2008,65.34285714285714,0.009677777777777778,2.7341818181818183,89.41666666666667,8.325000000000001,11.541666666666666
5223,Midlands,CANAL WATER,GRAND UN CNL KAYNES ARM DS RUGBY CEMENT,2005,53.6090909090909,0.012181818181818183,1.4451818181818181,76.9090909090909,7.8,12.363636363636363
5198,Midlands,CANAL WATER,"G/S CANAL, LLANTHONY BRIDGE",2003,61.121428571428574,0.04414285714285714,6.11,99.35714285714286,8.135714285714286,12.864285714285714
5428,Midlands,CANAL WATER,WORCESTER & BIRMINGHAM CANAL AT DIGLIS,2001,50.054545454545455,0.03690909090909091,2.354545454545455,87.27272727272727,7.945454545454546,12.863636363636363
5413,Midlands,CANAL WATER,"TRENT & MERSEY CANAL, BARROW ON TRENT",2002,86.125,0.03225,7.265000000000001,92.75,7.8999999999999995,11.25
5113,Midlands,CANAL WATER,BHAM CANAL WOLVERHAMPTON LEV - BRADES RD,2007,84.03333333333333,0.020585,0.8398999999999999,84.25,7.9750000000000005,11.808333333333332
19492,North West,CANAL WATER,MSC AT MEDIA CITY FOOTBRIDGE,2018,58.64166666666667,0.11944166666666667,4.744166666666667,82.77499999999999,7.546666666666667,12.216666666666667
5285,Midlands,CANAL WATER,OXFORD CANAL NAPTON FLDS LANE BR NAPTON,2006,55.775,0.008955,2.7710000000000004,92.16666666666667,8.091666666666667,13.091666666666667
19481,North West,CANAL WATER,LLANGOLLEN CANAL AT      PORTERS MILL WR,2003,14.091666666666667,0.0184,1.1724166666666667,92.33333333333333,7.8066666666666675,11.325000000000001
5140,Midlands,CANAL WATER,COVENTRY CANAL  FRADLEY AIRFIELD,2005,56.63333333333333,0.013500000000000002,1.4044999999999999,63.0,7.608333333333333,11.466666666666667
5135,Midlands,CANAL WATER,"BRASSHOUSE BRIDGE, HIGH LEVEL",2007,105.90833333333335,0.030803333333333332,0.9093333333333334,80.83333333333333,8.025,12.416666666666666
5190,Midlands,CANAL WATER,DUDLEY CANAL DUDLEY MIXED CONCRETE,2004,93.81666666666666,0.0111,0.3585,95.58333333333333,8.15,11.825000000000001
5306,Midlands,CANAL WATER,"PARK LANE EAST, LOW LEVEL",2000,89.39999999999999,0.016666666666666666,1.0766666666666667,102.25,8.141666666666667,10.554545454545455
5175,Midlands,CANAL WATER,DAW END BRANCH RUSHALL CANAL ALDRIDGE RD,2001,34.481818181818184,0.02118181818181818,2.376,92.27272727272727,7.845454545454545,11.272727272727273
5262,Midlands,CANAL WATER,OXFORD CANAL FENNY COMPTON,2001,30.7,0.052,5.7968,84.41666666666667,7.925,11.325000000000001
5276,Midlands,CANAL WATER,OXFORD CANAL HILLMORTON,2006,57.44166666666666,0.025480000000000003,2.5379166666666664,81.25,7.908333333333334,12.283333333333333
5137,Midlands,CANAL WATER,COVENTRY CANAL  FRADLEY AIRFIELD,2000,47.19230769230769,0.013000000000000001,4.515,93.46153846153847,7.907692307692307,11.153846153846153
19533,North West,CANAL WATER,TRENT AND MERSEY CANAL AT THURLWOOD,2001,54.65833333333333,0.03525,1.46825,97.5,7.919999999999999,10.383333333333333
9,Anglian,CANAL WATER,GRAND UNION CANAL BROCKHALL ROAD BRIDGE,2007,46.275000000000006,0.016825,5.72,109.35,7.905,8.815
5398,Midlands,CANAL WATER,TRENT & MERSEY CANAL - TRUBSHAW CROSS,2005,39.766666666666666,0.0103,1.1650833333333332,85.0,7.808333333333334,12.200000000000001
5437,Midlands,CANAL WATER,WORCS & BIRM CANAL GRANGE LNE ALVECHURCH,2000,43.458333333333336,0.0505,2.8075,72.16666666666667,7.7749999999999995,10.525
5303,Midlands,CANAL WATER,OXFORD CNL ALDERMANS GREEN -SOWE COMMON,2006,65.425,0.016649,2.105583333333333,79.16666666666667,7.991666666666667,11.833333333333334
19508,North West,CANAL WATER,SHROPSHIRE UNION CANAL AT EGG BRIDGE,2002,45.199999999999996,0.0715,4.953333333333333,84.0,7.566666666666666,12.725000000000001
5171,Midlands,CANAL WATER,DAW END BRANCH RUSHALL C CLAYHANGER BRDG,2006,51.541666666666664,0.017898,0.5914545454545455,70.0,7.833333333333333,12.291666666666666
19537,North West,CANAL WATER,TRENT AND MERSEY CANAL AT THURLWOOD,2005,56.725,0.026,1.27825,94.0,7.7250000000000005,11.625
5134,Midlands,CANAL WATER,"BRASSHOUSE BRIDGE, HIGH LEVEL",2006,120.58333333333333,0.04016666666666666,1.1733333333333333,79.33333333333333,7.816666666666666,12.375
5336,Midlands,CANAL WATER,STAFFS/WORCESTER CANAL STOURPORT BASIN,2006,112.69999999999999,0.015415454545454545,7.49,87.15384615384616,7.769230769230769,12.399999999999999
5375,Midlands,CANAL WATER,TRENT & MERSEY CANAL - HARECASTLE TUNNEL,2004,51.31666666666667,0.026833333333333334,1.9182499999999998,70.83333333333333,7.058333333333334,11.191666666666668
5182,Midlands,CANAL WATER,DAW END BRANCH RUSHALL CANAL ALDRIDGE RD,2008,39.949999999999996,0.010990909090909091,1.2115454545454545,85.85000000000001,7.75,11.033333333333333
5136,Midlands,CANAL WATER,"BRASSHOUSE BRIDGE, HIGH LEVEL",2008,101.21666666666665,0.031900000000000005,0.8866666666666667,72.75,7.8500000000000005,11.774999999999999
5342,Midlands,CANAL WATER,STAINFORTH AT KEADBY,2005,120.65833333333335,0.02816666666666667,5.3075,87.66666666666667,8.158333333333333,11.708333333333334
5148,Midlands,CANAL WATER,COVENTRY CANAL FOLESHILL ROAD BRIDGE,2006,66.19166666666666,0.032293333333333334,2.2725555555555554,65.75,7.791666666666667,11.808333333333332
5360,Midlands,CANAL WATER,TAME VALLEY CANAL  NEWTON ROAD,2005,57.05833333333334,0.016375,0.9116666666666666,85.16666666666667,7.891666666666667,11.491666666666667
5131,Midlands,CANAL WATER,"BRASSHOUSE BRIDGE, HIGH LEVEL",2003,95.64166666666667,0.04275,0.8729166666666667,86.58333333333333,7.7250000000000005,11.775
19511,North West,CANAL WATER,SHROPSHIRE UNION CANAL AT EGG BRIDGE,2005,61.85,0.034999999999999996,5.956666666666667,85.66666666666667,7.925,12.358333333333334
5133,Midlands,CANAL WATER,"BRASSHOUSE BRIDGE, HIGH LEVEL",2005,124.68333333333334,0.042583333333333334,1.1849166666666666,55.416666666666664,7.616666666666666,11.333333333333334
5128,Midlands,CANAL WATER,BHAM/FAZELEY CANAL  MINWORTH LOCK,2006,69.38333333333334,0.023743999999999998,2.8059166666666666,95.75,8.133333333333333,12.508333333333333
5238,Midlands,CANAL WATER,GRAND UNION CANAL SOUTH KILWORTH,2002,29.192307692307693,0.04115384615384616,5.679545454545455,83.38461538461539,7.923076923076923,12.353846153846153
19500,North West,CANAL WATER,SHROPSHIRE UNION CANAL AT BEESTON,2002,48.09166666666667,0.06358333333333334,6.003333333333333,95.5,7.7250000000000005,12.433333333333332
19519,North West,CANAL WATER,SHROPSHIRE UNION CANAL SITE B BADDILEY,2002,40.5,0.295,9.22,57.0,7.2,13.4
5333,Midlands,CANAL WATER,STAFFS/WORCESTER CANAL STOURPORT BASIN,2003,95.3153846153846,0.02638461538461539,5.933076923076923,85.61538461538461,7.746153846153846,12.792307692307693
5091,Midlands,CANAL WATER,ASHBY CANAL  BURTON HASTINGS,2003,46.392857142857146,0.04378571428571428,5.503571428571428,76.28571428571429,7.476428571428571,11.950000000000001
5302,Midlands,CANAL WATER,OXFORD CNL ALDERMANS GREEN -SOWE COMMON,2005,59.00833333333333,0.0070999999999999995,1.9289166666666666,85.83333333333333,8.049999999999999,11.591666666666667
5370,Midlands,CANAL WATER,TRENT & MERSEY CANAL - ASTON,2006,41.050000000000004,0.01798,2.6358333333333333,84.83333333333333,7.833333333333333,11.841666666666667
5431,Midlands,CANAL WATER,WORCESTER & BIRMINGHAM CANAL AT DIGLIS,2004,52.75384615384615,0.029,2.3993076923076924,104.61538461538461,8.184615384615386,12.615384615384615
19491,North West,CANAL WATER,MSC AT MEDIA CITY FOOTBRIDGE,2017,31.916666666666668,0.07421538461538461,3.5323076923076924,84.9076923076923,7.613076923076923,10.823076923076922
11,Anglian,CANAL WATER,GRAND UNION CANAL COOKS WHARF,2004,39.25833333333333,0.024916666666666667,2.3779166666666667,123.89166666666667,8.428333333333333,11.915000000000001
19487,North West,CANAL WATER,MACCLESFIELD CANAL@HIGH LANE (A6 BRIDGE),2004,26.491666666666664,0.02008333333333333,0.8039166666666667,83.91666666666667,7.633333333333333,10.75
15,Anglian,CANAL WATER,GRAND UNION CANAL FOXTON/GUMLEY RD.BR.,2003,34.59166666666667,0.024191666666666667,1.7865833333333334,84.425,7.915833333333333,11.633333333333333
19530,North West,CANAL WATER,ST HELENS CANAL AT SPIKE ISLAND,2013,317.0,0.0486,0.871,138.2,9.28,20.3
